ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
842	A. Anwhar Raajhaa	Elected	Sunday, May 18, 2014	In office	First	Ramanthapuram	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	B.Sc.	69	36	0	213	73%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
843	A. Arunmozhithevan	Elected	Sunday, May 18, 2014	In office	First	Cuddalore	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Graduate	B.Sc., B.L.	50	40	0	549	85%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
844	A.P. Jithender Reddy	Elected	Sunday, May 18, 2014	In office	Second	Mahabubnagar	Telangana	Telangana Rashtra Samithi	Male	Graduate	Educated at Osmania University, Hyderabad (Telangana)	64	95	7	201	85%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
845	A.T. Nana Patil	Elected	Sunday, May 18, 2014	In office	Second	Jalgaon	Maharashtra	Bharatiya Janata Party	Male	Post Graduate	M.Com.	57	88	17	510	86%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
846	Abhijit Mukherjee	Elected	Sunday, May 18, 2014	In office	Second	Jangipur	West Bengal	Indian National Congress	Male	Professional Graduate	B.E. (Mech.), F.I.E./Chartered Engineer Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata	59	33	0	174	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
847	Abhishek Banerjee	Elected	Sunday, May 18, 2014	In office	First	Diamond Harbour	West Bengal	All India Trinamool Congress	Male	Post Graduate	Post Graduate	31	3	0	48	28%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
848	Abhishek Singh	Elected	Sunday, May 18, 2014	In office	First	Rajnandgaon	Chhattisgarh	Bharatiya Janata Party	Male	Professional Post Graduate	Engg. (Mech.), M.B.A.	38	17	0	391	76%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	27.1	0.1	226	83%		Lok Sabha
849	Abu Hasem Khan Choudhury	Elected	Sunday, May 18, 2014	In office	Third	Maldaha Dakshin	West Bengal	Indian National Congress	Male	Graduate	Graduate (Degree in Industrial Psychology) Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada	81	2	0	0	73%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
850	Adhikari Deepak (Dev)	Elected	Sunday, May 18, 2014	In office	First	Ghatal	West Bengal	All India Trinamool Congress	Male	Graduate	Computer Engineer	36	2	0	3	11%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
851	Adhir Ranjan Chowdhury	Elected	Sunday, May 18, 2014	In office	Fourth	Baharampur	West Bengal	Indian National Congress	Male	Under Matric	Educated at I.C. Institute, Berhampore, West Bengal	62	114	5	186	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
852	Ajay Misra Teni	Elected	Sunday, May 18, 2014	In office	First	Kheri	Uttar Pradesh	Bharatiya Janata Party	Male	Professional Graduate	B.Sc., LL.B.	58	246	6	484	95%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
853	Ajay Nishad	Elected	Sunday, May 18, 2014	In office	First	Muzaffarpur	Bihar	Bharatiya Janata Party	Male	Graduate	Graduate	52	21	0	218	95%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
854	Ajay Tamta	Elected	Sunday, May 18, 2014	In office	First	Almora	Uttarakhand	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Inter (Science)	46	16	0	69	94%	This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	35.4	1	137	80	29.3	3.4	75	90%		Lok Sabha
855	Akshay Yadav	Elected	Sunday, May 18, 2014	In office	First	Firozabad	Uttar Pradesh	Samajwadi Party	Male	Professional Graduate	B.B.A.	32	10	0	1	69%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
856	Alok Sanjar	Elected	Sunday, May 18, 2014	In office	First	Bhopal	Madhya Pradesh	Bharatiya Janata Party	Male	Professional Graduate	B.A., LL.B.	55	123	3	412	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
857	Amarinder Singh	Elected	Sunday, May 18, 2014	Wednesday, November 23, 2016	Second	Amritsar	Punjab	Indian National Congress	Male	Graduate	Graduate	77	4	0	18	6%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	42.3	1.2	162	80	31.9	0.3	71	68%		Lok Sabha
858	Anandrao Adsul	Elected	Sunday, May 18, 2014	In office	Fifth	Amravati	Maharashtra	Shiv Sena	Male	Graduate	B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra	71	64	2	1062	85%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
859	Anant Gangaram Geete	Elected	Sunday, May 18, 2014	In office	Sixth	Raigad	Maharashtra	Shiv Sena	Male	Matric	Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra)	67	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
860	Anant Kumar Hegde	Elected	Sunday, May 18, 2014	In office	Fifth	Uttara Kannada	Karnataka	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at M.M. Arts and Science College, Sirsi (Karnataka)	50	1	0	245	96%	This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	54.5	1.6	217	80	40.6	0.3	290	79%		Lok Sabha
861	Ananth Kumar	Elected	Sunday, May 18, 2014	Monday, November 12, 2018	Sixth	Bangalore South	Karnataka	Bharatiya Janata Party	Male	Professional Graduate	B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka)	59	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
862	Anbumani Ramadoss	Elected	Sunday, May 18, 2014	In office	First	Dharmapuri	Tamil Nadu	Pattali Makkal Katchi	Male	Professional Graduate	M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu)	50	12	0	51	45%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
